Frequency (Hz),Voltage (V),Current (mA),Power (mW)
20000,12.264,23.048780487804876,288.55853658536586
22000,12.264,22.682926829268293,278.0019512195122
22000,12.264,22.804878048780488,279.86146341463416
22000,12.26,24.024390243902438,280.7926829268293
22000,12.256,23.23170731707317,290.61146341463416
22000,12.252,24.024390243902438,280.99121951219513
24000,12.016,190.2439024390244,1577.0731707317075
24000,12.032,190.91463414634146,2225.941463414634
24000,12.024,188.47560975609755,2337.945365853659
24000,12.0,213.10975609756096,2192.909756097561
24000,11.992,213.78048780487805,2564.993414634146
26000,12.164,101.52439024390243,2171.690731707317
26000,12.164,100.67073170731707,1224.4946341463415
26000,12.164,100.85365853658537,1236.9475609756098
26000,12.16,100.67073170731707,1223.8170731707316
26000,12.128,100.67073170731707,1220.9346341463415
28000,12.164,85.54878048780489,1170.4141463414633
28000,12.168,86.34146341463413,1031.7926829268292
28000,12.176,84.39024390243902,1034.401951219512
28000,12.16,85.54878048780489,1042.3843902439025
28000,12.16,84.87804878048782,1028.0063414634146
30000,12.152,93.65853658536585,1055.1492682926828
30000,12.144,92.6829268292683,1122.2031707317071
30000,12.156,92.07317073170732,1121.0960975609755
30000,12.148,92.86585365853658,1127.0239024390244
30000,12.144,93.04878048780488,1118.4946341463415
32000,12.064,171.34146341463415,2008.880487804878
32000,12.06,171.09756097560978,2081.1746341463413
32000,12.06,171.15853658536588,2060.209756097561
32000,12.044,168.2926829268293,2053.9841463414637
32000,12.068,172.74390243902437,2111.500731707317
34000,12.12,112.13414634146342,1479.3100000000002
34000,12.172,104.8170731707317,1436.0107317073168
34000,12.14,107.6219512195122,1301.8514634146343
34000,12.148,107.2560975609756,1424.770243902439
34000,12.116,122.5,1178.82
36000,12.092,124.7560975609756,1338.66
36000,12.116,138.1707317073171,1431.549512195122
36000,12.124,123.90243902439025,1598.0858536585367
36000,12.068,162.1341463414634,1552.789756097561
36000,12.104,141.15853658536585,1579.208048780488
38000,12.18,87.1951219512195,1279.990243902439
38000,12.188,74.51219512195122,1129.620243902439
38000,12.168,76.95121951219512,905.6278048780487
38000,12.196,74.32926829268293,702.5368292682928
38000,12.12,116.21951219512195,1290.9853658536585
40000,12.176,89.8170731707317,1414.7646341463417
40000,12.164,94.57317073170732,1083.5743902439024
40000,12.168,90.67073170731707,1217.0221951219512
40000,12.18,85.0,906.0682926829269
40000,12.148,85.60975609756098,998.9717073170732
42000,12.18,88.65853658536585,818.2309756097562
42000,12.208,58.96341463414634,878.5939024390243
42000,12.092,69.26829268292684,945.0475609756098
42000,12.176,72.74390243902438,821.9468292682927
42000,12.184,88.35365853658536,1002.3512195121953
44000,12.196,59.8780487804878,849.8151219512197
44000,12.208,68.96341463414635,832.4268292682926
44000,12.228,45.97560975609756,1012.2768292682927
44000,12.22,56.707317073170735,639.7331707317072
44000,12.172,82.8658536585366,925.6868292682925
46000,12.116,116.64634146341464,1163.3795121951218
46000,12.12,116.15853658536587,1423.4282926829267
46000,12.112,117.1951219512195,1417.391707317073
46000,12.132,116.64634146341464,1415.970731707317
46000,12.132,116.52439024390245,1432.3719512195123
48000,12.132,99.57317073170732,1299.128048780488
48000,12.152,99.69512195121952,1218.5036585365854
48000,12.152,99.39024390243902,1212.577804878049
48000,12.144,100.0609756097561,1215.7156097560978
48000,12.172,100.0609756097561,1213.318536585366
50000,12.136,91.64634146341463,1151.0970731707316
50000,12.176,91.09756097560975,1107.3819512195123
50000,12.164,91.52439024390243,1108.9024390243903
50000,12.14,91.70731707317073,1117.7529268292683
50000,12.148,91.89024390243902,1110.3468292682928
52000,12.156,89.20731707317073,1105.1439024390243
52000,12.144,88.65853658536585,1085.831463414634
52000,12.172,89.02439024390243,1082.2631707317073
52000,12.152,88.84146341463415,1083.2185365853657
52000,12.136,89.6341463414634,1088.1348780487804
54000,12.16,88.84146341463415,1083.2487804878047
54000,12.136,89.6341463414634,1086.6534146341464
54000,12.132,88.23170731707316,1070.6731707317074
54000,12.168,89.08536585365853,1088.0846341463414
54000,12.168,89.6951219512195,1081.1121951219511
56000,12.164,90.30487804878048,1103.3126829268292
