Frequency (Hz),Voltage (V),Current (mA),Power (mW)
95000,12.116,555.7317073170732,6733.245365853659
95000,12.124,549.4512195121952,6661.546585365854
95000,11.896,550.060975609756,6543.5253658536585
96000,11.816,601.7682926829268,7110.494146341463
96000,12.116,603.5365853658536,7312.449268292682
96000,12.076,605.4268292682927,7311.134390243904
96000,12.164,600.7317073170732,7307.300487804878
96000,11.96,609.329268292683,7287.578048780489
97000,12.112,661.7682926829268,8015.337560975609
97000,11.92,642.7439024390244,7661.507317073171
97000,11.992,660.3658536585366,7919.1073170731715
97000,11.976,662.3780487804878,7932.639512195123
97000,12.232,710.7926829268293,8694.416097560976
98000,12.12,724.2682926829268,8778.131707317072
98000,11.924,721.5853658536585,8604.183902439023
98000,11.904,722.2560975609756,8597.736585365854
98000,12.264,715.6707317073171,8776.985853658536
98000,11.968,723.9024390243902,8663.664390243903
99000,12.016,771.219512195122,9266.973658536586
99000,11.976,790.2439024390244,9463.960975609756
99000,11.952,790.5487804878048,9448.639024390244
99000,11.96,795.3048780487804,9511.846341463415
99000,11.888,786.5243902439024,9350.201951219511
100000,12.084,800.8536585365854,9677.515609756098
100000,11.984,870.609756097561,10433.387317073171
100000,11.724,635.3658536585366,7449.029268292683
100000,12.08,865.7317073170732,10458.039024390244
100000,12.14,866.5243902439025,10519.606097560978
101000,11.996,845.3658536585366,10141.008780487806
101000,12.12,802.5,9726.3
101000,11.6,761.5853658536586,8834.390243902439
101000,11.832,859.2073170731708,10166.140975609756
101000,11.476,875.7317073170732,10049.897073170732
102000,11.28,865.548780487805,9763.390243902439
102000,11.408,872.3170731707318,9951.393170731708
102000,11.184,804.6341463414635,8999.028292682928
102000,11.412,811.280487804878,9258.33292682927
102000,12.224,1010.6707317073171,12354.439024390245
103000,10.624,781.4024390243902,8301.619512195122
103000,12.816,1021.1585365853659,13087.16780487805
103000,10.708,930.2439024390244,9961.051707317074
103000,10.532,659.2682926829268,6943.413658536585
103000,10.848,943.5365853658536,10235.484878048781
104000,11.556,1200.609756097561,13874.246341463415
104000,11.968,904.3292682926829,10823.012682926828
104000,11.836,1045.4878048780488,12374.393658536586
104000,10.956,1196.4634146341464,13108.453170731707
104000,10.476,1179.1463414634147,12352.737073170734
105000,10.52,1365.1219512195123,14361.08292682927
105000,12.748,1181.219512195122,15058.186341463414
105000,11.964,1336.6463414634147,15991.636829268295
105000,11.676,1103.658536585366,12886.317073170732
105000,10.68,1344.0853658536585,14354.831707317071
106000,11.804,1364.939024390244,16111.74024390244
106000,10.952,1435.2439024390244,15718.791219512195
106000,11.624,1137.7439024390244,13225.13512195122
106000,11.492,1473.2317073170732,16930.378780487805
106000,12.016,1487.9268292682927,17878.928780487804
107000,10.444,1368.658536585366,14294.269756097563
107000,11.312,1669.0243902439024,18880.003902439024
107000,10.844,1347.6829268292684,14614.273658536586
107000,11.736,1707.3780487804877,20037.788780487805
107000,11.744,1415.4268292682927,16622.77268292683
108000,9.32,1582.0121951219512,14744.353658536585
108000,7.492,1275.609756097561,9556.868292682928
108000,7.404,1207.6829268292684,8941.684390243903
108000,7.336,1273.4756097560976,9342.217073170732
108000,7.38,1226.5243902439024,9051.75
109000,7.456,1279.6341463414633,9540.95219512195
109000,7.356,1148.9024390243903,8451.326341463415
109000,6.668,1161.5853658536585,7745.451219512195
109000,7.264,1251.219512195122,9088.858536585367
109000,7.196,1201.8902439024391,8648.80219512195
110000,7.096,1322.439024390244,9384.02731707317
110000,6.46,1261.4634146341464,8149.053658536585
110000,6.5,1360.4268292682925,8842.774390243902
110000,7.236,1385.2439024390244,10023.62487804878
110000,6.864,743.6585365853658,5104.472195121951
111000,7.376,788.7804878048781,5818.044878048781
111000,7.06,833.2317073170732,5882.615853658536
111000,6.812,1492.8048780487807,10168.986829268295
111000,7.528,1491.219512195122,11225.900487804878
111000,8.624,1213.4756097560976,10465.013658536585
112000,7.388,1556.3414634146343,11498.250731707318
112000,8.156,976.7682926829268,7966.522195121952
112000,6.816,1080.121951219512,7362.111219512194
112000,7.36,1142.560975609756,8409.248780487806
112000,7.416,1685.4878048780488,12499.577560975611
113000,7.76,1146.0365853658536,8893.243902439024
113000,8.46,1760.8536585365853,14896.821951219514
113000,7.848,1085.4878048780488,8518.908292682927
113000,7.464,1323.780487804878,9880.69756097561
113000,7.704,1637.378048780488,12614.360487804879
114000,8.66,1270.8536585365853,11005.592682926828
114000,7.772,1618.2317073170732,12576.896829268293
114000,8.508,1265.0609756097563,10763.138780487805
114000,7.848,1337.6829268292684,10498.135609756098
114000,8.46,1284.939024390244,10870.584146341465
115000,8.084,1860.7926829268292,15042.648048780487
115000,8.64,1347.439024390244,11641.87317073171
115000,8.032,1877.3170731707316,15078.610731707317
115000,8.188,1412.560975609756,11566.049268292683
115000,8.076,1757.8048780487804,14196.032195121952
116000,8.476,1373.2926829268292,11640.028780487806
116000,8.536,1487.8658536585365,12700.422926829267
116000,8.588,1406.7682926829268,12081.326097560974
116000,7.924,1365.1829268292684,10817.709512195122
116000,8.548,1486.219512195122,12704.204390243904
117000,8.016,1433.9634146341464,11494.650731707317
117000,8.66,1723.9634146341464,14929.523170731707
117000,8.328,1733.3536585365855,14435.369268292683
117000,8.432,1508.780487804878,12722.037073170732
117000,7.992,1453.4146341463413,11615.68975609756
118000,8.536,1764.8170731707319,15064.478536585366
118000,7.976,1463.2317073170732,11670.736097560975
118000,8.644,1703.780487804878,14727.478536585366
118000,8.288,1739.2682926829268,14415.055609756098
118000,8.6,1655.121951219512,14234.048780487803
119000,8.544,1660.0,14183.04
119000,7.944,1404.7560975609756,11159.38243902439
119000,7.996,1457.0731707317073,11650.757073170731
119000,7.968,1440.1829268292684,11475.37756097561
119000,8.072,1517.5,12249.259999999998
120000,8.192,1683.2926829268292,13789.533658536586
120000,8.148,1619.8170731707316,13198.26951219512
120000,7.984,1452.1341463414635,11593.839024390245
120000,8.1,1535.4878048780488,12437.451219512195
120000,8.628,1743.7804878048782,15045.33804878049
121000,8.624,1763.5365853658536,15208.739512195123
121000,8.052,1586.6463414634147,12775.676341463415
121000,7.956,1428.719512195122,11366.892439024392
121000,8.092,1583.0487804878048,12810.030731707318
121000,8.656,1697.8048780487804,14696.199024390244
122000,8.1,1753.3536585365855,14202.164634146342
122000,8.032,1753.4756097560976,14083.916097560976
122000,8.032,1613.719512195122,12961.39512195122
122000,7.948,1400.9146341463415,11134.469512195123
122000,8.452,1484.0243902439026,12542.974146341465
123000,8.56,1746.6463414634145,14951.292682926829
123000,8.024,1312.2560975609756,10529.542926829266
123000,7.968,1569.390243902439,12504.901463414633
123000,8.644,1431.768292682927,12376.205121951221
123000,8.38,1431.5853658536587,11996.68536585366
124000,8.172,1383.3536585365853,11304.766097560976
124000,8.372,1888.3536585365855,15809.296829268294
124000,7.976,1297.560975609756,10349.346341463413
124000,8.644,1793.5365853658536,15503.33024390244
124000,7.976,1312.439024390244,10468.013658536585
125000,8.092,1767.3780487804877,14301.623170731707
125000,8.092,1673.841463414634,13544.72512195122
125000,8.484,1457.0731707317073,12361.808780487805
125000,8.292,1475.0,12230.699999999999
125000,8.224,1883.841463414634,15492.71219512195
126000,8.428,1894.6951219512196,15968.49048780488
126000,8.084,1658.59756097561,13408.10268292683
126000,8.0,1966.6463414634145,15733.170731707316
126000,8.252,1978.1707317073171,16323.864878048782
126000,8.384,1295.3658536585367,10860.347317073172
127000,8.04,1527.1341463414633,12278.158536585364
127000,8.376,1137.3170731707316,9526.167804878047
127000,8.1,1184.3292682926829,9593.06707317073
127000,8.02,1746.0365853658536,14003.213414634145
127000,8.372,1192.6829268292684,9985.141463414635
128000,8.032,1623.0487804878048,13036.327804878048
128000,8.652,1479.5731707317073,12801.26707317073
128000,7.964,965.548780487805,7689.630487804879
128000,7.968,959.8170731707318,7647.82243902439
128000,8.024,1834.0243902439024,14716.211707317072
129000,8.04,1524.2073170731708,12254.626829268293
129000,8.012,1658.780487804878,13290.149268292684
129000,8.484,1823.3536585365853,15469.332439024389
129000,8.032,859.2682926829268,6901.642926829269
129000,8.34,1692.6219512195123,14116.467073170732
130000,8.016,998.6585365853658,8005.2468292682925
130000,8.136,1775.9756097560976,14449.33756097561
130000,8.032,1112.439024390244,8935.11024390244
130000,8.076,1761.0975609756097,14222.623902439025
130000,8.192,1740.4878048780488,14258.076097560976
131000,8.684,1273.719512195122,11060.980243902439
131000,8.068,1673.719512195122,13503.569024390243
131000,8.644,1681.8902439024391,14538.259268292684
131000,8.112,1675.9756097560976,13595.514146341464
131000,8.032,732.6829268292682,5884.909268292682
132000,8.34,1625.4878048780488,13556.568292682927
132000,8.128,1602.2560975609756,13023.13756097561
132000,8.236,1606.5853658536587,13231.837073170735
132000,8.108,1592.8658536585365,12914.956341463414
132000,8.204,1618.5365853658539,13278.474146341467
133000,8.1,1520.7926829268292,12318.420731707316
133000,8.188,1534.6951219512196,12566.083658536587
133000,8.188,1531.4024390243903,12539.12317073171
133000,8.172,1537.4390243902437,12563.951707317072
133000,8.164,1532.2560975609756,12509.338780487804
134000,8.16,1479.2682926829268,12070.829268292682
134000,8.608,1528.1097560975609,13153.968780487805
134000,8.64,1527.5,13197.6
134000,8.648,1528.3536585365853,13217.20243902439
134000,8.628,1527.560975609756,13179.796097560975
135000,8.656,1462.9878048780488,12663.622439024391
135000,9.08,1522.7439024390244,13826.514634146342
135000,9.116,1521.5853658536585,13870.77219512195
135000,9.084,1520.0,13807.68
135000,9.092,1519.2682926829268,13813.18731707317
136000,9.14,1458.5365853658536,13331.024390243903
136000,9.572,1514.6951219512196,14498.661707317073
136000,9.58,1512.1341463414635,14486.24512195122
136000,9.58,1511.341463414634,14478.651219512194
136000,9.56,1510.7317073170732,14442.59512195122
137000,9.552,1452.9268292682927,13878.357073170731
137000,10.012,1506.890243902439,15086.985121951218
137000,10.032,1505.7926829268292,15106.11219512195
137000,10.044,1508.1097560975609,15147.454390243902
137000,10.024,1504.4512195121952,15080.619024390244
138000,10.04,1453.231707317073,14590.446341463412
138000,10.488,1490.3048780487804,15630.317560975609
138000,10.516,1493.2317073170732,15702.824634146342
138000,10.504,1502.8658536585367,15786.10292682927
138000,10.512,1506.5243902439024,15836.584390243903
139000,10.532,1448.4146341463415,15254.70292682927
139000,10.94,1491.829268292683,16320.612195121952
139000,10.944,1494.5731707317075,16356.608780487808
139000,10.928,1491.219512195122,16296.046829268294
139000,10.96,1493.048780487805,16363.814634146345
140000,10.956,1442.6219512195123,15805.366097560976
140000,11.372,1487.5,16915.85
140000,11.388,1481.5853658536587,16872.294146341465
140000,11.404,1485.7926829268292,16943.97975609756
140000,11.376,1486.7073170731708,16912.78243902439
141000,11.388,1430.8536585365855,16294.561463414635
141000,11.412,1430.9756097560976,16330.293658536586
141000,11.4,1428.109756097561,16280.451219512197
141000,11.416,1429.2682926829268,16316.526829268292
141000,11.42,1433.9634146341464,16375.862195121952
142000,11.384,1392.5,15852.220000000001
142000,11.448,1381.341463414634,15813.597073170731
142000,11.416,1372.7439024390244,15671.244390243903
142000,11.452,1372.3780487804877,15716.473414634145
142000,11.452,1375.121951219512,15747.896585365852
143000,11.436,1326.7682926829268,15172.922195121952
143000,11.468,1323.9634146341464,15183.21243902439
143000,11.472,1322.1341463414633,15167.522926829266
143000,11.476,1323.4756097560976,15188.206097560977
143000,11.456,1325.3658536585367,15183.391219512196
144000,11.468,1281.8292682926829,14700.018048780486
144000,11.488,1284.1463414634147,14752.273170731707
144000,11.476,1280.0,14689.28
144000,11.508,1284.7560975609756,14784.973170731706
144000,11.444,1280.9146341463415,14658.787073170733
